,offer_name,link_to_offer,price,country,placed,condition
188,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1755577,€45,usa,1 year ago,N
189,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1734319,$60,usa,1 year ago,LN
190,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/1707753,€40,usa,1 year ago,LN
191,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1698566,$48,usa,1 year ago,N
192,Im Wandel der Zeitalter: Ein neue Geschichte der Zivilisation (German first edition) (2015),https://boardgamegeek.com/geekmarket/product/1684845,€45,usa,1 year ago,LN
193,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/1561325,€48,usa,2 years ago,N
194,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1553720,€48,usa,2 years ago,N
195,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1518090,$45,usa,2 years ago,LN
196,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1507699,$40,usa,2 years ago,VG
197,Through the Ages: Uma Nova História da Civilização (Portuguese edition) (2017),https://boardgamegeek.com/geekmarket/product/1486483,€57,usa,2 years ago,N
198,历史巨轮：人类文明新篇章 (Chinese edition) (2016),https://boardgamegeek.com/geekmarket/product/1480721,$25,usa,2 years ago,LN
199,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/1458935,$45,usa,2 years ago,N
200,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/geekmarket/product/1405709,$35,usa,2 years ago,N
201,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1403205,€40,usa,2 years ago,N
202,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1365113,$35,usa,2 years ago,N
203,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1364088,€41,usa,2 years ago,N
204,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1293336,$35,usa,2 years ago,N
205,Through the Ages: A New Story of Civilization (English edition) (2015),https://boardgamegeek.com/geekmarket/product/1284833,$45,usa,2 years ago,LN
